Sail Area (m²),ACS3 Total Mass (kg),SSP-1 Basic Total Mass (kg),SSP-1 Radial Total Mass (kg),SSP-1 Basic Savings (%),SSP-1 Radial Savings (%)
80,7.699936230364507,4.178164078649988,4.36599378875997,45.737679460597334,43.298312373772895
500,10.468840575911269,6.164410196624969,6.633984471899925,41.11659116474431,36.63114435838598
1000,13.273084782583421,8.428341649025256,9.092419957660617,36.500506196685365,31.49731123851901
2000,18.483681151822537,12.874820393249937,13.81396894379985,30.34493352542793,25.263972958991676
4000,28.342169565166845,21.652683298050516,22.980839915321233,23.602590661717926,18.916440526962354
6000,37.88457438758265,30.365895003862228,31.992548009269345,19.846281778962805,15.55257376797804
8000,47.263362303645074,39.045640786499874,40.9239378875997,17.38708614158716,13.412978059659675
